stop,route,location,lat,lng
SCOTT AVE & DOUGLAS AVE SB,SCOTT,"(36.191031, -86.733406)",36.191031,-86.733406
BUENA VISTA PIKE & HUMMINGBIRD DR S,WHITES CREEK,"(36.219326, -86.821003)",36.219326,-86.821003
HARDING PIKE & BOSLEY SPRINGS RD WB,WEST END - WHITE BRIDGE,"(36.127756, -86.843788)",36.127756,-86.843788
DICKERSON PIKE & BEN ALLEN RD NB,DICKERSON ROAD,"(36.225429, -86.760305)",36.225429,-86.760305
BRANSFORD AVE & ROSEDALE AVE NB,100 OAKS,"(36.124624, -86.765827)",36.124624,-86.765827
BRANSFORD AVE & BENTON AVE NB,100 OAKS,"(36.131533, -86.768317)",36.131533,-86.768317
MCGAVOCK PIKE & HUFFINE ST EB,SCOTT,"(36.204187, -86.729549)",36.204187,-86.729549
WEST END AVE & 24TH AVE S WB,WEST END - WHITE BRIDGE,"(36.148085, -86.806291)",36.148085,-86.806291
MURFREESBORO PIKE & KEN PILKERTON D,MURFREESBORO RELAX & RIDE,"(35.967417, -86.505349)",35.967417,-86.505349
GALLATIN PIKE & CURDWOOD BLVD SB,GALLATIN PIKE,"(36.219947, -86.72741)",36.219947,-86.72741
EASTLAND AVE & SKYVIEW DR EB,SHELBY,"(36.181989, -86.728768)",36.181989,-86.728768
RICHMOND HILL DR & CREEKWOOD DR SB,DICKERSON ROAD,"(36.230718, -86.773743)",36.230718,-86.773743
OLD HICKORY BLVD & CEDAR MONT DR EB,HICKORY HOLLOW-LENOX EXPRESS,"(36.045397, -86.703959)",36.045397,-86.703959
8TH AVE S & BROADWAY AVE NB,100 OAKS,"(36.158776, -86.7819)",36.158776,-86.7819
MUSIC CITY CENTRAL 4TH - BAY 22,WHITES CREEK,"(36.166643, -86.781659)",36.166643,-86.781659
WEST END AVE & MOCKINGBIRD RD WB,WEST END - WHITE BRIDGE,"(36.131094, -86.835569)",36.131094,-86.835569
PREMIER DR & AMERICAN RD SB,CHARLOTTE,"(36.145822, -86.873597)",36.145822,-86.873597
STRATFORD AVE & BERKSHIRE DR NB,SHELBY,"(36.196921, -86.717097)",36.196921,-86.717097
12TH AVE S & ARCHER ST SB,BELMONT,"(36.144535, -86.786549)",36.144535,-86.786549
AMALIE DR & AMALIE POINT SB,TUSCULUM - McMURRAY EXPRESS,"(36.048395, -86.724604)",36.048395,-86.724604
28TH AVE N & HERMAN ST SB,UNIVERSITY CONNECTOR,"(36.161674, -86.819315)",36.161674,-86.819315
CHESTNUT ST & FORT NEGLEY BLVD EB,MIDTOWN,"(36.142249, -86.775425)",36.142249,-86.775425
HILLSBORO PIKE & STOKES LN NB,HILLSBORO,"(36.119637, -86.808689)",36.119637,-86.808689
WHITE BRIDGE PIKE & CORBETT LN SB,WEST END - WHITE BRIDGE,"(36.143101, -86.8578)",36.143101,-86.8578
18TH AVE & STATE ST SB,CHARLOTTE,"(36.156061, -86.798348)",36.156061,-86.798348
PORTER RD & MCKENNELL DR SB,SHELBY,"(36.193238, -86.726482)",36.193238,-86.726482
MARTIN ST & MOORE AVE SB,100 OAKS,"(36.137462, -86.76992)",36.137462,-86.76992
LEBANON PIKE & FAIRVIEW WB,LEBANON PIKE,"(36.16895, -86.683692)",36.16895,-86.683692
N HYDES FERRY RD & MANCHESTER AVE EB,BORDEAUX,"(36.193892, -86.83568)",36.193892,-86.83568
THOMPSON LN & E IRIS DR WB,THOMPSON CONNECTOR,"(36.11203, -86.762728)",36.11203,-86.762728
WEST END AVE & 25TH AVE S WB,WEST END - WHITE BRIDGE,"(36.147202, -86.808104)",36.147202,-86.808104
DEMONBREUN ST & 10TH AVE S,MUSIC CITY GREEN CIRCUIT,"(36.156152, -86.782377)",36.156152,-86.782377
CHARLOTTE AVE & 21ST AVE N EB,MIDTOWN,"(36.156605, -86.806313)",36.156605,-86.806313
HWY 70 S & SAWYER BROWN WB,WEST END - BELLEVUE,"(36.077742, -86.947539)",36.077742,-86.947539
DAVIDSON STATION OUTBOUND,CHARLOTTE,"(36.129661, -86.903165)",36.129661,-86.903165
WOODYCREST STATION OUTBOUND,NOLENSVILLE PK BRT LITE,"(36.130976, -86.75612)",36.130976,-86.75612
8TH AVE S & HAMILTON AVE SB,8TH AVENUE SOUTH,"(36.139339, -86.778422)",36.139339,-86.778422
21ST AVE S & MEDICAL CENTER DR NB,HILLSBORO,"(36.142676, -86.79995)",36.142676,-86.79995
HERMAN ST & 11TH AVE N WB,HERMAN,"(36.168145, -86.794374)",36.168145,-86.794374
BOYD DR & AMES DR NB,WHITES CREEK,"(36.226366, -86.826861)",36.226366,-86.826861
HILLSBORO PIKE & WOODMONT BLVD  SB,HILLSBORO,"(36.112341, -86.811187)",36.112341,-86.811187
MURFREESBORO PIKE & MARTWAY DR SB,MURFREESBORO PIKE,"(36.078312, -86.643094)",36.078312,-86.643094
2ND AVE S & LEA AVE NB,MURFREESBORO PIKE,"(36.155446, -86.770937)",36.155446,-86.770937
WHITE BRIDGE PIKE & CORBETT LN NB,WEST END - WHITE BRIDGE,"(36.143074, -86.857625)",36.143074,-86.857625
DOUGLAS AVE & PENNOCK AVE EB,MERIDIAN,"(36.193813, -86.766116)",36.193813,-86.766116
LEBANON PIKE & OLD HICKORY BLVD SB,LEBANON PIKE,"(36.197061, -86.621058)",36.197061,-86.621058
GRANNY WHITE PIKE & KIRKWOOD AVE SB,12TH AVENUE SOUTH,"(36.120943, -86.790663)",36.120943,-86.790663
22ND AVE N & PATTERSON ST NB,CHARLOTTE,"(36.153775, -86.805235)",36.153775,-86.805235
HARDING PIKE & WOODLAWN DR EB,WEST END - WHITE BRIDGE,"(36.127362, -86.844086)",36.127362,-86.844086
MARINA ST & MYRLTE ST WB,McFERRIN,"(36.180552, -86.757604)",36.180552,-86.757604
HARDING PIKE & LEAKE AVE NB,WEST END - BELLEVUE,"(36.105198, -86.868449)",36.105198,-86.868449
APACHE TRL & HICKORY LAKE WB,TUSCULUM - McMURRAY EXPRESS,"(36.067145, -86.690898)",36.067145,-86.690898
_ DICKERSON PIKE & WESTCHESTER DR N,HICKORY HILLS,"(36.263197, -86.757261)",36.263197,-86.757261
CHARLOTTE PIKE & CABOT DR WB,CHARLOTTE,"(36.130092, -86.90097)",36.130092,-86.90097
MONTGOMERY AVE & ONEIDA AVE NB,McFERRIN,"(36.199239, -86.754542)",36.199239,-86.754542
BRANSFORD AVE  & ROSEDALE AVE SB,100 OAKS,"(36.124353, -86.765931)",36.124353,-86.765931
DR DB TODD JR BLVD & PEARL ST NB,MIDTOWN,"(36.159231, -86.800963)",36.159231,-86.800963
THE HERMITAGE NB,OLD HICKORY,"(36.212367, -86.622574)",36.212367,-86.622574
HAYNES PARK DR & FAIRVIEW DR NB,BORDEAUX,"(36.211611, -86.833805)",36.211611,-86.833805
8TH AVE S & DEMONBREUN ST NB,100 OAKS,"(36.156777, -86.78067)",36.156777,-86.78067
BAPTIST WORLD CENTER DR & HAYNES MEADE CR SB,WHITES CREEK,"(36.202074, -86.788515)",36.202074,-86.788515
CLIFTON AVE & INDIANA AVE EB,HERMAN,"(36.157777, -86.829643)",36.157777,-86.829643
THOMPSON LN & BRANSFORD DR WB,THOMPSON CONNECTOR,"(36.112227, -86.764816)",36.112227,-86.764816
CHURCH ST & 19TH AVE N EB,CHARLOTTE,"(36.154177, -86.799123)",36.154177,-86.799123
JO JOHNSON AVE & 17TH AVE EB,MIDTOWN,"(36.161321, -86.799943)",36.161321,-86.799943
THOMPSON PL & PATRICIA DR EB,THOMPSON CONNECTOR,"(36.127139, -86.706915)",36.127139,-86.706915
HARDING PL & TROUSDALE DR WB,GRASSMERE-EDMONDSON CONNECTOR,"(36.081017, -86.756686)",36.081017,-86.756686
GALLATIN PIKE & IVERSON AVE NB,SHELBY,"(36.207698, -86.735472)",36.207698,-86.735472
GALLATIN PIKE & HOWARD AVE SB,GALLATIN PIKE,"(36.212069, -86.732353)",36.212069,-86.732353
CHESTNUT ST & 1ST AVE S EB,MIDTOWN,"(36.146319, -86.763346)",36.146319,-86.763346
BELL RD & OLD HICKORY BLVD EB,HICKORY HOLLOW-LENOX EXPRESS,"(36.045254, -86.701383)",36.045254,-86.701383
OLD HICKORY BLVD & CHADWICK LN EB,TUSCULUM - McMURRAY EXPRESS,"(36.040171, -86.752377)",36.040171,-86.752377
E THOMPSON LN & OLD GLENROSE SB,THOMPSON CONNECTOR,"(36.117036, -86.719289)",36.117036,-86.719289
BROAD ST & NORTHFIELD BLVD NB,MURFREESBORO RELAX & RIDE,"(35.86946, -86.415077)",35.86946,-86.415077
HAYNES PARK DR & EVE CR NB,BORDEAUX,"(36.209244, -86.834539)",36.209244,-86.834539
PREMIER DR & ANNEX AVE NB,CHARLOTTE,"(36.143343, -86.88178)",36.143343,-86.88178
FOSTER STATION OUTBOUND,MURFREESBORO PIKE,"(36.140994, -86.739126)",36.140994,-86.739126
ROWAN DR & BUENA VISTA PIKE NB,WHITES CREEK,"(36.217237, -86.819123)",36.217237,-86.819123
21ST AVE S & BLAIR BLVD NB,HILLSBORO,"(36.130158, -86.80197)",36.130158,-86.80197
53RD AVE STATION OUTBOUND,CHARLOTTE,"(36.151559, -86.852455)",36.151559,-86.852455
21ST AVE S & FAIRFAX AVE NB,HILLSBORO,"(36.134135, -86.801021)",36.134135,-86.801021
RIVERSIDE DR & MCGAVOCK PK SB,SHELBY,"(36.204925, -86.724666)",36.204925,-86.724666
MOOREWOOD DR & WILMOTH RD SB,DICKERSON ROAD,"(36.235583, -86.775112)",36.235583,-86.775112
MURFREESBORO PIKE & BLANTON AVE WB,MURFREESBORO PIKE,"(36.138954, -86.732227)",36.138954,-86.732227
CLARKSVILLE PIKE & MANCHESTER AVE S,BORDEAUX,"(36.195143, -86.833784)",36.195143,-86.833784
DIVISION ST & OVERTON ST WB,BELMONT,"(36.150901, -86.782389)",36.150901,-86.782389
18TH AVE S & ACKLEN AVE NB,BELMONT,"(36.135033, -86.796966)",36.135033,-86.796966
HADLEY AVE & N 14TH ST NB,OLD HICKORY,"(36.256346, -86.647739)",36.256346,-86.647739
N GALLATIN PIKE & DULING AVE NB,GALLATIN PIKE,"(36.266544, -86.710903)",36.266544,-86.710903
GRASSMERE EOL,GRASSMERE-EDMONDSON CONNECTOR,"(36.088533, -86.748727)",36.088533,-86.748727
MCGAVOCK PIKE & STONES RIVER RD NB,OPRY MILLS,"(36.194335, -86.67302)",36.194335,-86.67302
DOVERSIDE DR & CHESAPEAKE DR WB,DICKERSON ROAD,"(36.241297, -86.76779)",36.241297,-86.76779
CLIFTON AVE & 40TH AVE N EB,HERMAN,"(36.157053, -86.834036)",36.157053,-86.834036
PIEDMONT AVE & RIVERSIDE DR WB,SHELBY,"(36.201808, -86.722559)",36.201808,-86.722559
WEST END AVE & MURPHY RD EB,WEST END - WHITE BRIDGE,"(36.139641, -86.818647)",36.139641,-86.818647
N 14TH ST & BENJAMIN ST NB,SCOTT,"(36.186727, -86.743497)",36.186727,-86.743497
N 14TH ST & BENJAMIN ST SB,SCOTT,"(36.186878, -86.743494)",36.186878,-86.743494
21ST AVE S & SCARRIT PL SB,HILLSBORO,"(36.145382, -86.799742)",36.145382,-86.799742
EWING DR & RICHMOND HILL DR WB,DICKERSON ROAD,"(36.230501, -86.774199)",36.230501,-86.774199
PORTER RD & MCKENNEL DR NB,SHELBY,"(36.192917, -86.726639)",36.192917,-86.726639
PICADILLY ROW & CADOGAN WAY WB,ANTIOCH EXPRESS,"(36.083296, -86.660823)",36.083296,-86.660823
100 OAKS MALL,100 OAKS,"(36.106851, -86.762639)",36.106851,-86.762639
ANDREW JACKSON PKWY & DES MOINES DR,LEBANON PIKE,"(36.209543, -86.601961)",36.209543,-86.601961
8TH AVE S & E ARGYLE AVE NB,8TH AVENUE SOUTH,"(36.135939, -86.778772)",36.135939,-86.778772
EWING DR & KNIGHT RD,GOLDEN VALLEY,"(36.231759, -86.803354)",36.231759,-86.803354
BELMONT AVE & 17TH AVE S EB,BELMONT,"(36.132667, -86.795676)",36.132667,-86.795676
HWY 70 S & CHIMNEY HILL EB,WEST END - BELLEVUE,"(36.075995, -86.916136)",36.075995,-86.916136
JACKSON ST & 17TH AVE N EB,HERMAN,"(36.166302, -86.803747)",36.166302,-86.803747
EWING DR & EWING LN WB,DICKERSON ROAD,"(36.231059, -86.7766)",36.231059,-86.7766
6TH AVE S & OAK ST SB,100 OAKS,"(36.148073, -86.772303)",36.148073,-86.772303
ARTHUR ST & GARFIELD AVE NB,ST. CECILIA - CUMBERLAND,"(36.176771, -86.800059)",36.176771,-86.800059
OLD HICKORY PARK & RIDE,OLD HICKORY,"(36.217246, -86.624815)",36.217246,-86.624815
FIVE POINTS STATION OUTBOUND,GALLATIN PIKE,"(36.17955, -86.750132)",36.17955,-86.750132
LEBANON PIKE & BRILEY PKWY WB,LEBANON PIKE,"(36.168806, -86.685747)",36.168806,-86.685747
NASHBORO STATION INBOUND,MURFREESBORO PIKE,"(36.088293, -86.649284)",36.088293,-86.649284
TODD PREIS DR & DORAL COUNTRY DR  EB,WEST END - BELLEVUE,"(36.070333, -86.945514)",36.070333,-86.945514
MUSIC CITY CENTRAL 4TH - BAY 21,100 OAKS,"(36.166688, -86.781614)",36.166688,-86.781614
DICKERSON PIKE & HOMESTEAD RD NB,HICKORY HILLS,"(36.235206, -86.758225)",36.235206,-86.758225
HILLSBORO PIKE & GOLF CLUB LN NB,HILLSBORO,"(36.117949, -86.809911)",36.117949,-86.809911
AMALIE DR & VILLAGE WAY SB,TUSCULUM - McMURRAY EXPRESS,"(36.045974, -86.72535)",36.045974,-86.72535
ELYSIAN FIELDS STATION INBOUND,NOLENSVILLE PK BRT LITE,"(36.086113, -86.729211)",36.086113,-86.729211
GALLATIN PIKE & EDENWOLD RD NB,GALLATIN PIKE,"(36.288484, -86.704525)",36.288484,-86.704525
EASTLAND AVE & WILSONWOOOD PL WB,SHELBY,"(36.181989, -86.728162)",36.181989,-86.728162
HARDING PL & LINBAR DR EB,NOLENSVILLE PK BRT LITE,"(36.084414, -86.704904)",36.084414,-86.704904
SCOTT AVE & LITTON AVE NB,SCOTT,"(36.201581, -86.732671)",36.201581,-86.732671
NOLENSVILLE PK & HAYWOOD LN,NOLENSVILLE PK BRT LITE,"(36.067891, -86.718613)",36.067891,-86.718613
COUNTY HOSPITAL RD & DOAK AVE WB,BORDEAUX,"(36.192437, -86.834602)",36.192437,-86.834602
BLAKEMORE AVE & 23RD AVE S EB,UNIVERSITY CONNECTOR,"(36.137809, -86.803167)",36.137809,-86.803167
DICKERSON PK & WHITES CREEK PK SB,WHITES CREEK,"(36.189323, -86.77349)",36.189323,-86.77349
WEST END AVE & 19TH AVE N WB,WEST END - WHITE BRIDGE,"(36.152427, -86.797305)",36.152427,-86.797305
CHARLOTTE AVE & 54TH AVE WB,CHARLOTTE,"(36.150853, -86.855445)",36.150853,-86.855445
LISCHEY AVE & JOY AVE NB,MERIDIAN,"(36.203156, -86.761547)",36.203156,-86.761547
LEBANON PIKE & FESSLERS LN EB,LEBANON PIKE,"(36.154271, -86.742493)",36.154271,-86.742493
21ST AVE N & STATE ST SB,MIDTOWN,"(36.153391, -86.803474)",36.153391,-86.803474
GALLATIN PIKE S & MAPLE ST SB,GALLATIN PIKE,"(36.261326, -86.712671)",36.261326,-86.712671
MASSMAN DR & ACORN DR EB,AIRPORT - DOWNTOWN HOTELS,"(36.153829, -86.701691)",36.153829,-86.701691
OLD HICKORY BLVD & BEVERLY DR EB,MADISON EXPRESS,"(36.264024, -86.724451)",36.264024,-86.724451
31ST AVE N & BURCH AVE NB,UNIVERSITY CONNECTOR,"(36.146209, -86.816324)",36.146209,-86.816324
11TH AVE / N GULCH STATION INBOUND,100 OAKS,"(36.162295, -86.789985)",36.162295,-86.789985
CHEYENNE BLVD SENIOR TOWERS,MADISON CONNECTOR,"(36.254719, -86.672748)",36.254719,-86.672748
MUSIC CITY STAR RIVERFRONT STATION,LEBANON PIKE,"(36.161803, -86.773763)",36.161803,-86.773763
RICHARDS RD & DREWRY DR EB,ANTIOCH EXPRESS,"(36.068557, -86.676057)",36.068557,-86.676057
ELM HILL PIKE & MASSMAN DR WB,AIRPORT - DOWNTOWN HOTELS,"(36.144995, -86.710874)",36.144995,-86.710874
SHELBY AVE & S 10TH ST WB,SHELBY,"(36.171413, -86.751834)",36.171413,-86.751834
W TRINITY LN & BRICK CHURCH PIKE,GOLDEN VALLEY,"(36.206528, -86.778276)",36.206528,-86.778276
GALLATIN AVE & SHARPE AVE SB,GALLATIN PIKE,"(36.18946, -86.745942)",36.18946,-86.745942
ELM HILL PIKE & AIR LANE DR WB,AIRPORT - DOWNTOWN HOTELS,"(36.146839, -86.704906)",36.146839,-86.704906
SHELBY AVE & S 13TH ST EB,SHELBY,"(36.170915, -86.748273)",36.170915,-86.748273
N DUPONT AVE & ARCHWOOD DR EB,MADISON CONNECTOR,"(36.266161, -86.686945)",36.266161,-86.686945
JONES AVE & WOODYHILL DR SB,McFERRIN,"(36.210208, -86.757012)",36.210208,-86.757012
MT VIEW RD & CURTIS HOLLOW RD SB,MURFREESBORO PIKE,"(36.051076, -86.651321)",36.051076,-86.651321
BROAD ST & NORTHFIELD BLVD SB,MURFREESBORO RELAX & RIDE,"(35.869183, -86.415033)",35.869183,-86.415033
REVELS DR & ROWAN DR WB,WHITES CREEK,"(36.222813, -86.809262)",36.222813,-86.809262
WHITE BRIDGE PIKE & KENDALL SB,WEST END - WHITE BRIDGE,"(36.139637, -86.857509)",36.139637,-86.857509
EDMONDSON PK & BREWER DR NB,GRASSMERE-EDMONDSON CONNECTOR,"(36.065813, -86.738181)",36.065813,-86.738181
SHARPE AVE & 16TH ST N EB,SCOTT,"(36.187958, -86.740007)",36.187958,-86.740007
CHARLOTTE AVE & 39TH AVE N WB,CHARLOTTE,"(36.152524, -86.833167)",36.152524,-86.833167
MEIGS MAGNET SCHOOL,DICKERSON ROAD,"(36.176017, -86.760399)",36.176017,-86.760399
THOMPSON LN & GRANDVIEW EB,THOMPSON CONNECTOR,"(36.110896, -86.746532)",36.110896,-86.746532
MURFREESBORO PIKE & MCGAVOCK PIKE W,MURFREESBORO PIKE,"(36.116566, -86.697203)",36.116566,-86.697203
SHARPE AVE & N 16TH ST WB,SCOTT,"(36.188038, -86.739715)",36.188038,-86.739715
MURFREESBORO PIKE & WASHINGTON ST N,MURFREESBORO RELAX & RIDE,"(35.982791, -86.519191)",35.982791,-86.519191
HAYWOOD LN & BAKERTOWN RD WB,ANTIOCH EXPRESS,"(36.070154, -86.685255)",36.070154,-86.685255
JEFFERSON ST & 21ST AVE N WB,MUSIC CITY BLUE CIRCUIT,"(36.169203, -86.809457)",36.169203,-86.809457
WALLACE RD & WILLARD DR WB,NOLENSVILLE PK BRT LITE,"(36.079715, -86.703958)",36.079715,-86.703958
CLARKSVILLE PIKE & 26TH AVE NB,UNIVERSITY CONNECTOR,"(36.186352, -86.818653)",36.186352,-86.818653
HARDING PIKE & DAVIDSON RD WB,WEST END - BELLEVUE,"(36.114971, -86.86133)",36.114971,-86.86133
DOUGLAS STATION OUTBOUND,GALLATIN PIKE,"(36.19312, -86.744077)",36.19312,-86.744077
ANDREW JACKSON PKWY & TYLER DR SB,LEBANON PIKE,"(36.197588, -86.608678)",36.197588,-86.608678
SHACKLEFORD RD & EDEN AVE WB,BELMONT,"(36.101525, -86.804094)",36.101525,-86.804094
WEST END AVE & CRAIGHEAD AVE WB,WEST END - WHITE BRIDGE,"(36.133812, -86.827633)",36.133812,-86.827633
GREAT CIRCLE RD & ATHENS WAY EB,METROCENTER,"(36.19918, -86.799771)",36.19918,-86.799771
E THOMPSON LN & WIMPOLE WB,THOMPSON CONNECTOR,"(36.124904, -86.71473)",36.124904,-86.71473
CHARLOTTE AVE & 26TH AVE N EB,CHARLOTTE,"(36.15446, -86.815677)",36.15446,-86.815677
8TH AVE S & ARGYLE AV SB,8TH AVENUE SOUTH,"(36.13524, -86.779147)",36.13524,-86.779147
MCGAVOCK PIKE & COOPER LN NB,SCOTT,"(36.210017, -86.713)",36.210017,-86.713
5TH AVE N & THE ARCADE NB,MUSIC CITY BLUE CIRCUIT,"(36.163938, -86.780627)",36.163938,-86.780627
PRIEST LAKE DR & COLONY PT NB,ANTIOCH EXPRESS,"(36.095682, -86.609919)",36.095682,-86.609919
JEFFERSON ST & DR DB TODD JR BLV D,MUSIC CITY BLUE CIRCUIT,"(36.169454, -86.806339)",36.169454,-86.806339
NOLENSVILLE PIKE & FLORA MAXWELL RD,NOLENSVILLE PK BRT LITE,"(36.074956, -86.724751)",36.074956,-86.724751
THOMPSON LN & LANDERS AVE WB,THOMPSON CONNECTOR,"(36.111313, -86.749256)",36.111313,-86.749256
WHITE BRIDGE PIKE & FOUNTAIN PL SB,WEST END - WHITE BRIDGE,"(36.130672, -86.856592)",36.130672,-86.856592
MCGAVOCK PIKE & STRATFORD AVE WB,SCOTT,"(36.207101, -86.719288)",36.207101,-86.719288
BELL RD & ELM HILL PIKE SB,ANTIOCH EXPRESS,"(36.14054, -86.628233)",36.14054,-86.628233
NASHBORO STATION OUTBOUND,MURFREESBORO PIKE,"(36.088579, -86.649765)",36.088579,-86.649765
MUSIC CITY CENTRAL 4TH - BAY 23,WEST END - BELLEVUE,"(36.166786, -86.781435)",36.166786,-86.781435
WHITE BRIDGE PIKE & STONEWAY TRL NB,WEST END - WHITE BRIDGE,"(36.136443, -86.858001)",36.136443,-86.858001
REVALS DR & PAIGE CT EB,WHITES CREEK,"(36.221753, -86.80755)",36.221753,-86.80755
BELMONT BLVD & BEECHWOOD AVE NB,BELMONT,"(36.125658, -86.794015)",36.125658,-86.794015
3RD AVE N & MONROE ST SB,METROCENTER,"(36.177876, -86.786595)",36.177876,-86.786595
SMYRNA & KMART,SMYRNA - LA VERGNE EXPRESS,"(35.993176, -86.526609)",35.993176,-86.526609
MERIDIAN ST & HANCOCK ST NB,MERIDIAN,"(36.183683, -86.768456)",36.183683,-86.768456
CLARKSVILLE PIKE & ED TEMPLE BLVD S,BORDEAUX,"(36.187276, -86.820545)",36.187276,-86.820545
CLARKSVILLE PIKE & 23RD AVE N EB,UNIVERSITY CONNECTOR,"(36.18414, -86.814736)",36.18414,-86.814736
THOMPSON LN & WINGATE AVE EB,THOMPSON CONNECTOR,"(36.10985, -86.734791)",36.10985,-86.734791
WEST END AVE & 17TH AVE S EB,WEST END - WHITE BRIDGE,"(36.153696, -86.794468)",36.153696,-86.794468
901 COWAN ST NB,GOLDEN VALLEY,"(36.189984, -86.781064)",36.189984,-86.781064
HUNTERS LN & DALEMERE DR NB,HICKORY HILLS,"(36.279759, -86.7563)",36.279759,-86.7563
ANDERSON RD & LAKE AIRE DR SB,ANTIOCH EXPRESS,"(36.098158, -86.603077)",36.098158,-86.603077
SHERIDAN RD & DUGGER DR EB,SHELBY,"(36.192499, -86.712489)",36.192499,-86.712489
DICKERSON PIKE & EASTMORELAND ST,HICKORY HILLS,"(36.195412, -86.77212)",36.195412,-86.77212
DEMONBREUN ST & 6TH AVE S,MUSIC CITY GREEN CIRCUIT,"(36.157946, -86.77853)",36.157946,-86.77853
EDMONDSON PK & BLACKMAN RD WB,GRASSMERE-EDMONDSON CONNECTOR,"(36.072026, -86.733038)",36.072026,-86.733038
OAKWOOD  AVE & ALLENWOOD DR NB,McFERRIN,"(36.211891, -86.753488)",36.211891,-86.753488
MASSMAN DR & KIPLING DR NB,THOMPSON CONNECTOR,"(36.13214, -86.700675)",36.13214,-86.700675
DICKERSON PIKE & GRACE ST NB,WHITES CREEK,"(36.183126, -86.773816)",36.183126,-86.773816
EDMONDSON LIBRARY SB,GRASSMERE-EDMONDSON CONNECTOR,"(36.044689, -86.744114)",36.044689,-86.744114
WALTER S DAVIS BLVD & 40TH AVE N EB,HERMAN,"(36.164497, -86.838576)",36.164497,-86.838576
OLD HICKORY BLVD & RIDGELAKE PKWY SB,BELLEVUE EXPRESS,"(36.097364, -86.924945)",36.097364,-86.924945
OLD HICKORY BLVD & HICKORY INDUSTRIAL DR NB,OLD HICKORY,"(36.266601, -86.669916)",36.266601,-86.669916
WOODMONT BLVD & CRESTRIDGE DR EB,12TH AVENUE SOUTH,"(36.109942, -86.777861)",36.109942,-86.777861
LEBANON PIKE & MONACO DR SB,LEBANON PIKE,"(36.20624, -86.613246)",36.20624,-86.613246
BELMONT BLVD & GRAYBAR LN SB,BELMONT,"(36.110438, -86.800429)",36.110438,-86.800429
BRICKMONT DR & MOOREWOOD CT WB,DICKERSON ROAD,"(36.24653, -86.772898)",36.24653,-86.772898
ELM HILL PIKE & FESSLERS LN EB,AIRPORT - DOWNTOWN HOTELS,"(36.144609, -86.744305)",36.144609,-86.744305
CHARLOTTE PIKE & I-40 RAMP EB,CHARLOTTE,"(36.130173, -86.900062)",36.130173,-86.900062
DR DB TODD BLVD & UNDERWOOD ST NB,UNIVERSITY CONNECTOR,"(36.173302, -86.808157)",36.173302,-86.808157
ANDERSON LN & OAK TREES CT SB,ANTIOCH EXPRESS,"(36.075047, -86.608915)",36.075047,-86.608915
COLEY DAVIS RD SHELTER PARK-N-RIDE,WEST END - BELLEVUE,"(36.079608, -86.955657)",36.079608,-86.955657
CHESTNUT STATION OUTBOUND,NOLENSVILLE PK BRT LITE,"(36.145515, -86.767122)",36.145515,-86.767122
CHARLES E DAVIS BLVD & LAFAYETTE ST SB,MIDTOWN,"(36.149462, -86.762447)",36.149462,-86.762447
12TH AVE S & WEDGEWOOD SB,12TH AVENUE SOUTH,"(36.135496, -86.789043)",36.135496,-86.789043
10TH AVE S & GILMORE AVE SB,12TH AVENUE SOUTH,"(36.124575, -86.786442)",36.124575,-86.786442
WALLACE RD & SOUTHERN HILLS EB,NOLENSVILLE PK BRT LITE,"(36.077608, -86.724418)",36.077608,-86.724418
BELL RD & BLUE HOLE RD EB,HICKORY HOLLOW-LENOX EXPRESS,"(36.045667, -86.674659)",36.045667,-86.674659
DICKERSON PIKE & BELLSHIRE DR SB,HICKORY HILLS,"(36.259554, -86.757846)",36.259554,-86.757846
KNOLLCREST APARTMENTS,DICKERSON ROAD,"(36.234377, -86.767376)",36.234377,-86.767376
EDGE HILL AVE & 19TH AVE S WB,MIDTOWN,"(36.143933, -86.797428)",36.143933,-86.797428
OLD HICKORY BLVD & HICKORY PLAZA DR EB,NOLENSVILLE PK BRT LITE,"(36.045341, -86.716856)",36.045341,-86.716856
SHELBY AVE & S 5TH ST EB,SHELBY,"(36.16779, -86.761605)",36.16779,-86.761605
OAKVIEW DR & STARLIGHT DR SB,DICKERSON ROAD,"(36.238116, -86.766147)",36.238116,-86.766147
HWY 70 S & CHIMNEY HILL WB,WEST END - BELLEVUE,"(36.076249, -86.915799)",36.076249,-86.915799
LEBANON PIKE & OMOHUNDRO DR WB,LEBANON PIKE,"(36.157039, -86.709045)",36.157039,-86.709045
BELMONT BLVD & WILDWOOD AVE SB,BELMONT,"(36.122719, -86.794741)",36.122719,-86.794741
GREEN HILLS VLG & CRESTMOOR RD SB,HILLSBORO,"(36.109242, -86.815524)",36.109242,-86.815524
7TH AVE N & CHURCH ST SB,100 OAKS,"(36.162206, -86.78277)",36.162206,-86.78277
N GALLATIN PK & ALTA LOMA RD SB,GALLATIN PIKE,"(36.29335, -86.702337)",36.29335,-86.702337
HARRISON ST & 8TH AVE N EB,HERMAN,"(36.168492, -86.788412)",36.168492,-86.788412
FATHERLAND ST & S 16TH ST NB,SHELBY,"(36.173458, -86.742382)",36.173458,-86.742382
STEWARTS FERRY PKWY & PERCY PRIEST DR NB,ANTIOCH EXPRESS,"(36.154226, -86.625681)",36.154226,-86.625681
MAIN ST & MCFERRIN AVE WB,GALLATIN PIKE,"(36.176659, -86.755462)",36.176659,-86.755462
